A,B,shared,P(B|A),P(A|B),lift,containment_pct,below_fidelity_tier,proposed_class,reason,source,final_class,my_reason,note
Individuals_Receiving_Income_Supports,Jail_Population,4630,0.00921338,0.668881826,0.710501761,0.668881826,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Income_Supports,Parents_Receiving_Child_Welfare_Services,4723,0.009398444,0.667278892,0.708799088,0.667278892,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Children_Receiving_Early_Intervention_Services,Individuals_Receiving_Income_Supports,4301,0.636996445,0.008558693,0.676632371,0.636996445,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Income_Supports,Older_Adults_Receiving_Services,5311,0.010568523,0.31690435,0.336623137,0.31690435,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,INFORMATIVE (negative association),,
Homeless_Population,Individuals_Receiving_Homelessness_and_Housing_Services,3415,1.0,0.156486276,24.46038583,1.0,False,VERIFIED_NESTING,"Homeless_Population is listed as a sub-category of Individuals_Receiving_Homelessness_and_Housing_Services in the [UG] indented list, and measured containment is ~100% (100.0% of the child category is in the parent) -- verified as structural nesting","[UG, ""About the Data""] indented list + measured containment; analyst-verified against the source documents",STRUCTURAL,"documented nesting verified by containment; definitional, not a finding.",
Individuals_Receiving_Mental_Health_Services,Mental_Health_Crises,7185,0.130014657,0.991718427,9.579253829,0.991718427,False,VERIFIED_NESTING,"Mental_Health_Crises is listed as a sub-category of Individuals_Receiving_Mental_Health_Services in the [UG] indented list, and measured containment is ~100% (99.2% of the child category is in the parent) -- verified as structural nesting","[UG, ""About the Data""] indented list + measured containment; analyst-verified against the source documents",STRUCTURAL,"documented nesting verified by containment; definitional, not a finding.",
Children_Receiving_Child_Welfare_Services,Children_in_Care,2211,0.302627977,0.988377291,72.21390769,0.988377291,True,REVIEW,behaves as containment (98.8% of the smaller service population) but is not in the [UG] indented list -- analyst judgment required,none -- not a listed nesting pair; the note rests on measured containment only,STRUCTURAL_BY_DEFINITION,Placement Services defined as subset of children-with-open-case [QC]; below tier regardless.,
Families_Receiving_Child_Welfare_Services,Parents_Receiving_Child_Welfare_Services,2446,0.784477229,0.345577847,59.16263921,0.784477229,True,FAILED_NESTING_ROLE_PARTITION,"Parents_Receiving_Child_Welfare_Services is listed as a sub-category of Families_Receiving_Child_Welfare_Services in the [UG] indented list, but only 34.6% of the child category is in the parent -- failed verification, not accepted as nesting. The child-welfare categories partition by ROLE, not nesting: ""Children Associated with a Child Welfare Case"" are children/youth under 18 with an open case, and ""Parents Associated with a Child Welfare Case"" are the parents of such children -- different people by definition, so near-zero overlap is expected category behaviour, not an error. Early Intervention is a separate referral pipeline (AFIT), a sibling program to the early-childhood cluster, not a subset.","[UG, ""About the Data""] indented list + [QC-Programs definitions, reviewed 2026-07-19]; analyst-verified",STRUCTURAL_BY_DEFINITION,role partition per [QC]; not a finding.,
Individuals_Receiving_DHS_Services,Individuals_Receiving_Mental_Health_Services,55263,0.672937824,1.0,6.500073062,1.0,False,REVIEW,behaves as containment (100.0% of the smaller service population) but is not in the [UG] indented list -- analyst judgment required,none -- not a listed nesting pair; the note rests on measured containment only,STRUCTURAL_BY_RECORDING_SCOPE (INFERRED),"DHS_Services measures as complete container for the MH cluster but not income supports, consistent with direct-DHS-delivered recording scope; analyst inference -- no [UG] arrow, no [QC] definition for this category.",
Individuals_Receiving_DHS_Services,Involuntary_Commitments,5003,0.060921556,0.998602794,6.490991124,0.998602794,False,REVIEW,behaves as containment (99.9% of the smaller service population) but is not in the [UG] indented list -- analyst judgment required,none -- not a listed nesting pair; the note rests on measured containment only,STRUCTURAL_BY_RECORDING_SCOPE (INFERRED),"DHS_Services measures as complete container for the MH cluster but not income supports, consistent with direct-DHS-delivered recording scope; analyst inference -- no [UG] arrow, no [QC] definition for this category.",
Individuals_Receiving_DHS_Services,Mental_Health_Crises,7189,0.087540489,0.992270531,6.449830951,0.992270531,False,REVIEW,behaves as containment (99.2% of the smaller service population) but is not in the [UG] indented list -- analyst judgment required,none -- not a listed nesting pair; the note rests on measured containment only,STRUCTURAL_BY_RECORDING_SCOPE (INFERRED),"DHS_Services measures as complete container for the MH cluster but not income supports, consistent with direct-DHS-delivered recording scope; analyst inference -- no [UG] arrow, no [QC] definition for this category.",
Involuntary_Commitments,Mental_Health_Crises,2053,0.409780439,0.28336784,30.19191009,0.409780439,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Attending_Early_Childhood_Programs_Managed_by_DHS,Individuals_Receiving_Family_Strengthening_Programs,36,0.103151862,0.012056263,18.44017449,0.103151862,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_DHS_Funded_Out_of_School_Programs,Children_in_Care,78,0.065108514,0.034868127,15.53637003,0.065108514,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_Early_Intervention_Services,Children_in_Care,438,0.064869668,0.195797944,15.47937597,0.195797944,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_in_Care,Individuals_Receiving_Family_Strengthening_Programs,185,0.082700045,0.061955794,14.78405933,0.082700045,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_Child_Welfare_Services,Children_Receiving_DHS_Funded_Out_of_School_Programs,230,0.031480975,0.191986644,14.02713917,0.191986644,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_Family_Strengthening_Programs,557,0.076238708,0.186537173,13.62898394,0.186537173,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Homeless_Population,Mental_Health_Crises,535,0.156661786,0.07384403,11.54256795,0.156661786,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Attending_Early_Childhood_Programs_Managed_by_DHS,Children_Receiving_Child_Welfare_Services,53,0.151862464,0.007254312,11.09554223,0.151862464,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Substance_Use_Disorder_Services,Jail_Population,1676,0.130814861,0.242126553,10.08795753,0.242126553,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Substance_Use_Disorder_Services,Parents_Receiving_Child_Welfare_Services,1242,0.096940368,0.175473298,7.310917168,0.175473298,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_Child_Welfare_Services,Children_Receiving_Early_Intervention_Services,656,0.089789214,0.097156398,7.098547516,0.097156398,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_DHS_Funded_Out_of_School_Programs,Individuals_Receiving_Family_Strengthening_Programs,45,0.037562604,0.015070328,6.714963374,0.037562604,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_Substance_Use_Disorder_Services,495,0.158755613,0.038635654,6.61439176,0.158755613,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Homeless_Population,Involuntary_Commitments,189,0.05534407,0.037724551,5.896728417,0.05534407,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Families_Receiving_Child_Welfare_Services,Overdoses,45,0.014432328,0.034116755,5.840760027,0.034116755,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_Family_Strengthening_Programs,96,0.030788967,0.032150033,5.504058925,0.032150033,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Substance_Use_Disorder_Services,Mental_Health_Crises,947,0.07391508,0.130710835,5.445934518,0.130710835,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Homeless_Population,Individuals_Receiving_Substance_Use_Disorder_Services,441,0.129136164,0.034420855,5.380327443,0.129136164,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Family_Strengthening_Programs,Parents_Receiving_Child_Welfare_Services,202,0.067649029,0.028539135,5.101862662,0.067649029,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Homeless_Population,Jail_Population,218,0.063836018,0.031493788,4.922797218,0.063836018,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Involuntary_Commitments,Jail_Population,303,0.060479042,0.043773476,4.66391969,0.060479042,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_in_Care,Individuals_Receiving_Mental_Health_Services,1001,0.447474296,0.018113385,4.322265018,0.447474296,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Jail_Population,Mental_Health_Crises,404,0.058364634,0.055762595,4.300204766,0.058364634,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Jail_Population,Parents_Receiving_Child_Welfare_Services,385,0.055619763,0.054393897,4.194655822,0.055619763,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_in_Care,Mental_Health_Crises,125,0.055878409,0.017253278,4.117023965,0.055878409,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Overdoses,Parents_Receiving_Child_Welfare_Services,67,0.050796058,0.009465951,3.830868149,0.050796058,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Substance_Use_Disorder_Services,Involuntary_Commitments,459,0.035825788,0.091616766,3.817119757,0.091616766,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_in_Care,Homeless_Population,53,0.023692445,0.015519766,3.703368544,0.023692445,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Intellectual_Disability_Services,Individuals_Receiving_Mental_Health_Services,2438,0.383333333,0.044116317,3.702711579,0.383333333,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Homeless_Population,Individuals_Receiving_Mental_Health_Services,1257,0.368081991,0.022745779,3.555395089,0.368081991,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Homelessness_and_Housing_Services,Individuals_Receiving_Substance_Use_Disorder_Services,1841,0.084360537,0.143693412,3.514796309,0.143693412,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_in_Care,Individuals_Receiving_DHS_Services,1202,0.537326777,0.01463676,3.492663308,0.537326777,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Mental_Health_Services,Jail_Population,2497,0.045183939,0.360733892,3.484417979,0.360733892,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Homelessness_and_Housing_Services,Mental_Health_Crises,1031,0.047243734,0.142305038,3.480836134,0.142305038,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Homeless_Population,Individuals_Receiving_DHS_Services,1825,0.534407028,0.022223034,3.473684726,0.534407028,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_DHS_Services,Individuals_Receiving_Family_Strengthening_Programs,1567,0.019081367,0.524782317,3.411123405,0.524782317,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_Child_Welfare_Services,Homeless_Population,155,0.021215439,0.045387994,3.316187501,0.045387994,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_DHS_Services,1547,0.496151379,0.018837827,3.225020214,0.496151379,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Substance_Use_Disorder_Services,Overdoses,97,0.007571027,0.073540561,3.06399297,0.073540561,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Mental_Health_Crises,Parents_Receiving_Child_Welfare_Services,277,0.038233264,0.039135349,2.883424451,0.039135349,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Families_Receiving_Child_Welfare_Services,Jail_Population,116,0.037203335,0.016758162,2.868983426,0.037203335,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Homeless_Population,Individuals_Receiving_Family_Strengthening_Programs,54,0.015812592,0.018084394,2.826773454,0.018084394,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Substance_Use_Disorder_Services,202,0.067649029,0.015766469,2.818528249,0.067649029,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Homeless_Population,Parents_Receiving_Child_Welfare_Services,124,0.036310395,0.017519073,2.738408125,0.036310395,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Intellectual_Disability_Services,Mental_Health_Crises,236,0.037106918,0.032574189,2.733973202,0.037106918,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Homelessness_and_Housing_Services,332,0.111185532,0.015213307,2.719641023,0.111185532,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Homelessness_and_Housing_Services,Parents_Receiving_Child_Welfare_Services,779,0.035696284,0.110059339,2.692093891,0.110059339,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_Mental_Health_Services,2014,0.275663838,0.036443914,2.662705264,0.275663838,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Mental_Health_Services,823,0.275619558,0.014892424,2.662277553,0.275619558,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_Early_Intervention_Services,Individuals_Receiving_Family_Strengthening_Programs,100,0.014810427,0.033489618,2.647619182,0.033489618,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Families_Receiving_Child_Welfare_Services,Mental_Health_Crises,107,0.03431687,0.014768806,2.528407284,0.03431687,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Children_Receiving_Child_Welfare_Services,Mental_Health_Crises,250,0.034218451,0.034506556,2.521155929,0.034506556,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_Homelessness_and_Housing_Services,315,0.101026299,0.014434312,2.47114225,0.101026299,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Jail_Population,Overdoses,42,0.006067611,0.031842305,2.455560596,0.031842305,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Homelessness_and_Housing_Services,Involuntary_Commitments,490,0.022453375,0.097804391,2.392333145,0.097804391,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Intellectual_Disability_Services,Involuntary_Commitments,140,0.022012579,0.027944112,2.345367755,0.027944112,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Mental_Health_Services,Parents_Receiving_Child_Welfare_Services,1704,0.030834374,0.240745973,2.325424966,0.240745973,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Individuals_Receiving_Family_Strengthening_Programs,Mental_Health_Crises,93,0.031145345,0.012836439,2.29473485,0.031145345,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
Families_Receiving_Child_Welfare_Services,Involuntary_Commitments,64,0.020525978,0.012774451,2.186975376,0.020525978,True,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,BELOW_TIER,ineligible as findings per M6; not individually adjudicated.,
